Name of Library ,Type of Library,Number of works,Links to Omeka Items,Location,Area,ISIL Code,Alphabetica: Library History,Library website ,Latitude,Longitude
Archivi Contemporanei di Storia Politica della Fondazione Cassamarca,Non specificata,1,,Roncade (TV),North,IT-TV0183,,,45.5980578,12.4362345
Archivio di Stato di Piacenza - Biblioteca,Biblioteca Specializzata,1,,Piacenza (PC),North,IT-PC0027,,http://www.archiviodistatopiacenza.beniculturali.it,45.0554259,9.6952686
Archivio storico comunale. Fondo antico Roncalli,Biblioteca Specializzata,1,,Vigevano (PV),North,IT-PV0205,,,45.3166863,8.8559465
Biblioteca Accademia dei Concordi,"Biblioteca Specializzata; Accademie, associazioni, fondazioni, istituti, societa' (privati)",4,,Rovigo (RO),North,IT-RO0049,,,45.0709911,11.7902264
Biblioteca antica del Collegio Mellerio Rosmini,Biblioteca Importante non specializzata; Enti ecclesiastici,3,,Domodossola (VB),North,IT-VB0032,,,46.1140718,8.2904865
Biblioteca 'Antonio Panizzi',Biblioteca pubblica,1,,Reggio nell'Emilia (RE),North,IT-RE0052,,,44.6966785,10.6294734
Biblioteca del Dipartimento di scienze dell'educazione - sezione di via Beato Pellegrino,Biblioteca universitaria,6,,Padova (PD),North,IT-PD0464,,http://polopellegrino.cab.unipd.it/Edu/homeEdu,45.4139524,11.8717944
Biblioteca centrale dell'Area umanistica dell'Università degli Studi di Urbino Carlo Bo,Biblioteca universitaria,3,,Urbino (PU),North,IT-PU0206,,,43.722912,12.636658
Biblioteca civica di Varese,Biblioteca civica; Biblioteca importante non specializzata,14,,Varese (VA),North,IT-VA0116,,http://www.varesecultura.it/biblioteche,45.8187432,8.8237287
Biblioteca civica,Biblioteca civica; Biblioteca importante non specializzata,2,,Vercelli (VC),North,IT-VC0073,,http://www.comune.vercelli.it/cultura/biblioteca/biblioteca/default.htm,45.3238849,8.4246265
Biblioteca civica,Biblioteca civica; Biblioteca importante non specializzata,1,,Belluno (BL),North,IT-BI0006,,,45.6856332,8.2456952
Biblioteca civica Angelo Mai e Archivi storici,Biblioteca civica; Biblioteca importante non specializzata,5,,Bergamo (BG),North,IT-BG0026,,,45.7042553,9.6632426
Biblioteca civica Attilio Hortis,Biblioteca civica; Biblioteca importante non specializzata,2,,Trieste (TS),North,IT-TS0013,,http://www.bibliotecacivicahortis.it,45.646956,13.7677761
Biblioteca civica Benedetto Croce,Biblioteca civica; biblioteca pubblica,1,,Pollone (BI),North,IT-BI0010,,,45.5820154,7.9997266
Biblioteca civica Berio,Biblioteca civica; biblioteca pubblica,21,,Genova (GE),North,IT-GE0036,,,44.4050577,8.9370819
Biblioteca civica Bertoliana Palazzo San Giacomo di Vicenza,Biblioteca civica; biblioteca pubblica,8,,Vicenza (VI),North,IT-VI0096,,,45.548426,11.5446616
Biblioteca civica Camillo Alliaudi,Biblioteca civica; Biblioteca importante non specializzata,3,,Pinerolo (TO),North,IT-TO0162,,http://www.comune.pinerolo.to.it/serv_strutture/biblioteche/alliaudi/index.htm,44.8877529,7.334803
Biblioteca civica Carlo Negroni,Biblioteca civica; biblioteca pubblica,1,,Novara (NO),North,	IT-NO0054,,,45.4468272,8.6225787
Biblioteca civica centrale,Biblioteca civica; Biblioteca importante non specializzata,14,,Torino (TO),North,IT-MI0377,,http://www.comune.monza.mi.it,45.58392,9.272432
Biblioteca civica centrale,Biblioteca civica; Biblioteca importante non specializzata,14,,Torino (TO),North,IT-TO0240,,http://www.comune.torino.it/cultura/biblioteche/sedi_orari/civica_centrale.shtml,45.0744005,7.6747792
Biblioteca civica centrale,Biblioteca civica; Biblioteca importante non specializzata,14,,Torino (TO),North,IT-TO0516,,,45.0326301,7.5228443
Biblioteca civica di Bassano del Grappa,Biblioteca civica; biblioteca pubblica,3,,Bassano del Grappa (VI),North,IT-VI0005,,,45.766054,11.7361327
Biblioteca civica di Biella,Biblioteca civica; Biblioteca importante non specializzata,3,,Biella (BI),North,IT-BI0025,,,45.5663695,8.0508341
Biblioteca civica di Mondovì,Biblioteca civica; Biblioteca importante non specializzata,1,,Mondovì (CN),North,IT-CN0065,,,44.3894357,7.8294198
Biblioteca civica di Padova,Biblioteca civica; biblioteca pubblica,35,,Padova (PD),North,IT-PD0090,,,45.4082764,11.8817341
Biblioteca civica don Gilberto Pressacco,Biblioteca civica; biblioteca pubblica,1,,Codroipo (UD),North,IT-UD0017,,http://www.comune.codroipo.ud.it,45.962654,12.990818
Biblioteca civica Eugenio Montale,Biblioteca civica,1,,Varazze (SV),North,IT-SV0066,,,44.3599771186805,8.57949711226422
Biblioteca civica Francesca Calvo,Biblioteca civica; Biblioteca importante non specializzata,2,,Alessandria (AL),North,IT-AL0002,,http://www.comune.alessandria.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/1315,44.9114484,8.6193907
Biblioteca civica Gambalunga,Biblioteca civica,4,,Rimini (RN),North,IT-RN0013,,http://www.bibliotecagambalunga.it,44.0616558,12.5678351
Biblioteca civica Giovanni Canna,Biblioteca civica,3,,Casale Monferrato (AL),North,IT-AL0042,,,45.1590286,8.1935431
Biblioteca civica Giovanni Canna,Biblioteca civica,3,,Casale Monferrato (AL),North,IT-AL0114,,,45.1340432,8.4522332
Biblioteca civica Ricottiana,Biblioteca civica,1,,Voghera (PV),North,IT-PV0190,,,44.99094,9.004974
Biblioteca civica Uberto Pozzoli,Biblioteca civica,2,,Lecco (LC),North,IT-LC0035,,http://www.comune.lecco.it/docinf.jhtml?param1_1=N109641973e7e6b65b8a,45.8563537,9.3915869
Biblioteca civica Vincenzo Joppi,Biblioteca civica,1,,Udine (UD),North,IT-UD0106,,http://www.comune.udine.it/biblioteca.htm,46.069979,13.251625
Biblioteca Clarence Bicknell dell'Istituto internazionale di studi liguri,,4,,Bordighera (IM),North,IT-IM0001,,http://www.iisl.it/Biblioteca%20Clarence%20Bicknell/Biblioteca%20Bicknell.htm,43.782477,7.667929
Biblioteca comunale Ariostea,Biblioteca comunale,4,,Ferrara (FE),North,IT-FE0017,,http://www.artecultura.fe.it/index.phtml?id=271,44.8330257,11.621657
Biblioteca comunale Aurelio Saffi e Fondo Piancastelli,Biblioteca comunale,12,,Forlì (FC),North,IT-FC0018,,,44.2205046,12.044391
Biblioteca comunale Classense,Biblioteca comunale,34,,Ravenna (RA),North,IT-RA0036,,http://www.classense.ra.it/main/index.php?id_pag=5,44.41417,12.2000899
Biblioteca comunale dell'Archiginnasio,Biblioteca comunale,20,,Bologna (BO),North,IT-BO0304,,http://www.archiginnasio.it,44.4917372,11.3432431
Biblioteca comunale di Imola,Biblioteca comunale,1,,Imola (BO),North,IT-BO0199,,,44.3536525,11.7136724
"Biblioteca comunale di Treviso,  Sede di Borgo Cavour",,2,,Treviso (TV),North,IT-TV0114,,,45.6659665,12.2379151
Biblioteca comunale di Vedelago,Biblioteca comunale,1,,Vedelago (TV),North,IT-TV0120,,,45.68633,12.019231
Biblioteca comunale don Giovanni Verità e della Accademia degli Incamminati,Biblioteca comunale,1,,Modigliana (FC),North,IT-FC0038,,http://www.comune.modigliana.fc.it,44.1215966,11.886851
Biblioteca comunale Fabrizio Trisi,Biblioteca comunale,3,,Lugo (RA),North,IT-RA0025,,http://www.bibliotecatrisi.it,44.4199314,11.9098071
Biblioteca comunale Federiciana,Biblioteca comunale,1,,Fano (PU),North,IT-PU0018,,http://www.provincia.ps.it/federiciana/,43.8441104,13.0209788
Biblioteca comunale Francesco Selmi,Biblioteca comunale,1,,Vignola (MO),North,IT-MO0127,,http://www.comune.vignola.mo.it,44.4799695,11.0064103
Biblioteca comunale Giulio Cesare Croce,Biblioteca comunale,3,,San Giovanni in Persiceto (BO),North,IT-BO0220,,,44.6376266,11.1880915
Biblioteca comunale Giuseppe Ceccarelli,Biblioteca comunale,1,,Gatteo (FC),North,IT-FC0029,,,44.1072557,12.385337
Biblioteca comunale Giuseppe Melli,,2,,San Pietro Vernotico (BR),North,IT-BR0016,,,40.4857843,18.0005058
Biblioteca comunale Luigi Dal Pane,Biblioteca comunale,1,,Castel Bolognese (RA),North,IT-RA0006,,http://wr.racine.ra.it/racine/racine.run?7271698,44.319149,11.797436
Biblioteca comunale Manfrediana,Biblioteca comunale,12,,Faenza (RA),North,IT-RA0016,,http://www.racine.ra.it/manfrediana,44.2844672,11.8850198
Biblioteca comunale Teresiana,Biblioteca comunale,3,,Mantova (MN),North,IT-MN0035,,http://www.bibliotecateresiana.it,45.1579276,10.7975387
Biblioteca d'arte e di storia di San Giorgio in Poggiale,,5,,Bologna (BO),North,IT-BO0376,,http://www.genusbononiae.it/index.php?pag=29,44.4972782,11.3393038
Biblioteca dei Musei provinciali ERPAC-FVG,,1,,Gorizia (GO),North,IT-GO0027,,,45.9433288,13.618912
"Biblioteca del Centro APICE -  Archivi della parola, dell'immagine e della comunicazione editoriale dell'Università degli studi di Milano",,1,,Milano (MI),North,IT-MI1289,,,45.4312808,9.2010151
Biblioteca del Centro dantesco,Bibliteca specializzata,54,,Ravenna (RA),North,IT-RA0035,,http://www.centrodantesco.it,44.4162608,12.2008986
Biblioteca del Centro nazionale di studi alfieriani,Bibliteca specializzata,1,,Asti (AT),North,IT-AT0003,,,44.899058,8.1984588
Biblioteca del Centro studi Piero Gobetti,Bibliteca specializzata,1,,Torino (TO),North,IT-TO0250,,http://www.regione.piemonte.it/cultura/istituti/gobetti/,45.0732203,7.6748088
"Biblioteca del Dipartimento di Filologia classica e Italianistica Alma Mater Studiorum,  Università degli studi di Bologna",,4,,Bologna (BO),North,IT-BO0451,,,44.4964972,11.3512531
Biblioteca del Liceo classico Marco Foscarini,Biblioteca Istituto Superiore,1,,Venezia (VE),North,IT-VE0280,,,45.4439222,12.3353151
Biblioteca del Liceo Classico Torricelli Ballardini,Biblioteca Istituto Superiore,2,,Faenza (RA),North,IT-RA0057,,,44.2869383,11.874484
Biblioteca del Seminario arcivescovile,Biblioteca Ecclesiastica,1,,Bologna (BO),North,IT-BO0552,,http://www.bologna.chiesacattolica.it/seminario,44.4784677,11.3437397
Biblioteca del Seminario maggiore,Biblioteca Ecclesiastica,1,,Parma (PR),North,IT-PR0043,,,44.802746,10.330453
Biblioteca del Seminario vescovile,Biblioteca Ecclesiastica,3,,Treviso (TV),North,IT-TV0113,,,45.6635869,12.2391039
Biblioteca del Seminario Vescovile di Pavia,Biblioteca Ecclesiastica,4,,Pavia (PV),North,IT-PV0074,,,45.1857392,9.1496794
Biblioteca del Seminario vescovile San Pio X,Biblioteca Ecclesiastica,1,,Rovigo (RO),North,IT-RO0042,,,45.0650579,11.792735
Biblioteca della Facoltà teologica dell'Emilia Romagna,Biblioteca universitaria,4,,Bologna (BO),North,IT-BO0344,,,44.4784677,11.3437397
BIBLIOTECA DELLA FONDAZIONE CENTRO INTERNAZIONALE DI STUDI DI ARCHITETTURA ANDREA PALLADIO,Biblioteca universitaria,1,,Vicenza (VI),North,IT-VI0095,,,45.548289,11.54566
Biblioteca della Fondazione Gramsci Emilia-Romagna,Specializzata,2,,Bologna (BO),North,IT-BO0392,,,44.4974498,11.3474571
Biblioteca della Fondazione Guido Lodovico Luzzatto,,1,,Milano (MI),North,IT-MI1321,,,45.4743755,9.166398
Biblioteca della Fondazione Il Vittoriale degli Italiani,,2,,Gardone Riviera (BS),North,IT-BS0310,,,45.6226657,10.567334
Biblioteca della Scuola Beato Angelico,Specializzata,1,,Milano (MI),North,IT-MI1047,,,45.459235,9.1362673
Biblioteca della Scuola di scienze sociali. Sezione DISFOR  Formazione. Università degli studi di Genova,,4,,Genova (GE),North,IT-GE0262,,,44.4117839,8.9472282
Biblioteca della Scuola di scienze umanistiche. Umanistica Balbisei. Università degli studi di Genova,,2,,Genova (GE),North,IT-GE0044,,,44.4146074,8.9268103
Biblioteca della Società storica lombarda,Specializzata,1,,Milano (MI),North,IT-MI0255,,http://www.societastoricalombarda.it,45.468001,9.1920364
Biblioteca della Storica Società Operaia di Mutuo Soccorso Ed Istruzione,,1,,Pordenone (PN),North,IT-PN0109,,,45.9558825,12.6597747
Biblioteca dell'Accademia delle scienze,Specializzata,11,,Torino (TO),North,IT-TO0324,,http://www.accademiadellescienze.it,45.0680516,7.6840303
Biblioteca dell'Associazione Benigno Zaccagnini,NON SPECIFICATA,1,,Cesena (FC),North,IT-FC0159,,,44.1393144,12.2462618
Biblioteca delle Civiche raccolte storiche,,1,,Milano (MI),North,	IT-MI0339,,,45.4723337,9.189779
Biblioteca dell'Istituto d'istruzione superiore Alessandro Volta,NON SPECIFICATA,1,,Pavia (PV),North,IT-PV0379,,,45.2078938,9.1233217
Biblioteca dell'Istituto Leone XIII,Specializzata,2,,Milano (MI),North,IT-MI0307,,http://www.leonexiii.it/biblioteca_menu.htm,45.4745966,9.1628272
Biblioteca dell'Istituto nazionale Ferruccio Parri,,1,,Milano (MI),North,	IT-MI0305,,,45.5256281,9.2144987
Biblioteca dell'Istituto sociale dei padri gesuiti,Importante non specializzata,4,,Torino (TO),North,IT-TO0872,,,45.0547302,7.6345158
Biblioteca dell'Istituto Tecnico Statale del Settore Tecnologico 'Alessandro Volta',,1,,Trieste (TS),North,IT-TS0274,,,45.6590484,13.7879686
"Biblioteca dell'Istituto veneto di scienze, lettere ed arti",Importante non specializzata,2,,Venezia (VE),North,IT-VE0237,,http://www.istitutoveneto.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/119,45.4326689,12.3301608
Biblioteca di Area umanistica dell'Università Ca' Foscari Venezia,Istituto di insegnamento superiore,3,,Venezia (VE),North,IT-VE0308,,,45.4347647960359,12.3224759101868
Biblioteca di Busseto della Fondazione Cariparma,,2,,Busseto (PR),North,IT-PR0007,,,44.9797045,10.041032
Biblioteca di Casa Carducci,Bibliteca specializzata,20,,Bologna (BO),North,IT-BO0283,,http://www.casacarducci.it,44.4895915,11.3576717
"Biblioteca di filosofia, lingue e letterature -  Università degli studi di Trieste",,4,,Trieste (TS),North,IT-TS0216,,,45.6433525,13.7556618
Biblioteca di filosofia. Università degli studi di Padova,,1,,Padova (PD),North,IT-PD0280,,,45.4081124,11.8719521
Biblioteca di Ingegneria e Architettura. Sezione di Ingegneria civile 'Giovanni Michelucci',,1,,Bologna (BO),North,IT-BO0540,,,44.4882503,11.3282958
Biblioteca di Scienze dell'antichità e filologia moderna,Istituto di insegnamento superiore,1,,Milano (MI),North,IT-MI1256,,http://www.sba.unimi.it/biblioantichitaefilologiamoderna,45.4603257,9.1937983
Biblioteca di Scienze Letterarie e Filologiche -  Dipartimento di Studi Umanistici dell'Università degli Studi di Torino,,3,,Torino (TO),North,IT-TO0657,,,45.0684234,7.7009236
Biblioteca di Storia contemporanea Alfredo Oriani,,1,,Ravenna (RA),North,IT-RA0030,,,44.415707,12.200223
Biblioteca di Studi giuridici e umanistici,,9,,Milano (MI),North,IT-MI0190,,,45.4603257,9.1937983
Biblioteca di Studi Umanistici dell'Università di Pavia,,3,,Pavia (PV),North,IT-PV0367,,,45.1846467,9.156012
Biblioteca diocesana del Seminario vescovile,Specializzata,2,,Biella (BI),North,IT-BI0027,,http://bibliotecaseminariobiella.wordpress.com/,45.56666,8.052534
Biblioteca diocesana di Alba,Importante non specializzata,1,,Alba (CN),North,IT-CN0001,,,44.6997595,8.0373371
Biblioteca e archivio dell'Accademia ligustica di belle arti,Specializzata,2,,Genova (GE),North,IT-GE0188,,,44.4076891,8.9345247
Biblioteca e Archivio storico di 'Casa Lyda Borelli',,1,,Bologna (BO),North,IT-BO0357,,,44.4895654,11.3118112
Biblioteca e archivio. Civica raccolta delle stampe Achille Bertarelli,Specializzata,1,,Milano (MI),North,IT-MI0281,,,45.469601,9.18046
Biblioteca e Musei Oliveriani,,1,,Pesaro (PU),North,IT-PU0061,,,43.9098401,12.909504
Biblioteca Estense Universitaria,Pubblica,3,,Modena (MO),North,IT-MO0089,,http://bibliotecaestense.beniculturali.it/index.html,44.6482001,10.9211123
Biblioteca Europa. Generale  Università degli studi di Trieste,,2,,Trieste (TS),North,IT-TS0137,,,45.6578468,13.7929195
"Biblioteca Italiana delle Donne  Centro di Documentazione, Ricerca e Iniziativa delle Donne",,4,,Bologna (BO),North,IT-BO0284,,,44.4885816,11.355714
Biblioteca MAB -  Provincia Ravenna,,1,,Ravenna (RA),North,IT-RA0053,,,44.417153039284,12.2040295600891
Biblioteca Malatestiana,Pubblica,4,,Cesena (FC),North,IT-FC0011,,http://www.malatestiana.it,44.1387059,12.2436791
Biblioteca multimediale Arturo Loria,,3,,Carpi (MO),North,	IT-MO0012,,,44.7835252,10.8853395
Biblioteca nazionale Braidense,Importante non specializzata,8,,Milano (MI),North,IT-MI0185,,http://www.braidense.it,45.471946,9.187845
Biblioteca nazionale Marciana,Importante non specializzata,8,,Venezia (VE),North,IT-VE0049,,http://marciana.venezia.sbn.it/,45.433388,12.3394782
Biblioteca Nazionale Universitaria,Importante non specializzata,10,,Torino (TO),North,IT-TO0265,,http://www.bnto.librari.beniculturali.it,45.0698752,7.6871678
Biblioteca Norberto Bobbio dell'Università degli Studi di Torino,Istituto di insegnamento superiore,2,,Torino (TO),North,IT-TO1203,,,45.0746826,7.70149660000004
Biblioteca P. Bollini del Liceo scientifico statale Righi,,1,,Bologna (BO),North,"
IT-BO0586",,,44.4918158,11.3293803
Biblioteca Palatina,Importante non specializzata,3,,Parma (PR),North,IT-CE0013,,,41.0714,14.32698
Biblioteca Palatina,Pubblica,3,,Parma (PR),North,IT-PR0072,,http://www.bibpal.unipr.it,44.804875,10.325797
Biblioteca parrocchiale di Romano di Lombardia,NON SPECIFICATA,1,,Romano di Lombardia (BG),North,IT-BG0398,,www.arteculturasacra.com,45.519678,9.7565065
Biblioteca provinciale dei Frati minori dell'Emilia. Sezione Biblioteca dello Studio teologico S. Antonio,,1,,Bologna (BO),North,IT-BO0330,,,44.4864927,11.3593522
Biblioteca pubblica e Casa della cultura. Fondazione Achille Marazza,Pubblica,3,,Borgomanero (NO),North,IT-NO0011,,,45.7007022,8.4676988
Biblioteca Reale,Specializzata,2,,Torino (TO),North,IT-TO0263,,www.bibliotecarealepiemonte.beniculturali.it,45.0703812,7.6858201
Biblioteca Seminariale Paolo VI,Istituto di insegnamento superiore,1,,Aversa (CE),North,IT-CE0069,,,40.9773537,14.2032705
"Biblioteca Statale del Monumento Nazionale di Santa 
Giustina",,1,,Padova (PD),North,IT-PD0077,,,45.3963968,11.8803318
Biblioteca statale di Cremona,Importante non specializzata,7,,Cremona (CR),North,IT-CR0062,,http://www.bibliocremona.it/,45.1379377,10.0215815
Biblioteca Statale Isontina,Importante non specializzata,1,,Gorizia (GO),North,IT-GO0025,,http://www.isontina.beniculturali.it,45.9462809,13.6236652
Biblioteca Storica di Ateneo 'Arturo Graf',,3,,Torino (TO),North,"
IT-TO0529",,,45.0690513,7.6888463
Biblioteca Teologica Diocesana,,1,,Ivrea (TO),North,IT-TO0111,,,45.4685279,7.8768794
Biblioteca Universitaria,Pubblica,3,,Pavia (PV),North,IT-BO0098,,http://www.bub.unibo.it,44.4971148,11.3528491
Biblioteca Universitaria,Importante non specializzata,3,,Pavia (PV),North,IT-PV0291,,http://www.bibliotecauniversitariapavia.it,45.186513,9.155929
Biblioteca Universitaria,Pubblica,2,,Genova (GE),North,IT-BO0098,,http://www.bub.unibo.it,44.4971148,11.3528491
Biblioteca Universitaria,Importante non specializzata,2,,Genova (GE),North,IT-PV0291,,http://www.bibliotecauniversitariapavia.it,45.186513,9.155929
Biblioteca Universitaria di Bologna,,4,,Bologna (BO),North,IT-BO0098,,,44.4971148,11.3528491
Biblioteca universitaria di Bologna -  Sezione Archivio Storico,,2,,Bologna (BO),North,IT-BO0420,,,44.4971899,11.3417828
Biblioteca Universitaria di Padova,,1,,Padova (PD),North,IT-PD0158,,,45.4070473,11.8805465
Biblioteca universitaria giuridica dell'Università degli studi di Modena e Reggio Emilia,Istituto di insegnamento superiore,1,,Modena (MO),North,IT-MO0169,,http://www.bugiuridica.unimore.it,44.6449568,10.9278554
Sistema Bibliotecario di Milano,,2,,Milano (MI),North,IT-MI1992,,,45.4775869,9.0107568
