library,number_of_books_held,place,longitude,latitude
Archivio di Stato di Piacenza ,1, Piacenza (PC),9.6934106,45.0555141
Biblioteca del Centro studi Piero Gobetti ,1, Torino (TO),7.6746404,45.0732936
Biblioteca interdipartimentale di Scienze giuridiche   Sapienza Università di Roma ,1,Roma (RM),12.5146616,41.9037144
Biblioteca di scienze sociali dell'Università degli studi di Firenze ,1, Firenze (FI),11.1891977,43.7923929
Biblioteca provinciale dei Frati minori dell'Emilia. Sezione Biblioteca dello Studio teologico S. Antonio ,1, Bologna (BO),11.3595585,44.48633
Biblioteca Ss. Crocifisso dei Frati Minori Cappuccini di Calabria ,1, Cosenza (CS),16.25057,39.2921176
Archivi Contemporanei di Storia Politica della Fondazione Cassamarca ,1,Roncade (TV),12.245534,45.6661395
Biblioteca comunale Alessandro Minuziano ,1, San Severo (FG),15.3758423,41.6823966
Biblioteca di filosofia. Università degli studi di Padova ,1, Padova (PD),11.8722889,45.4076984
Biblioteca e Musei Oliveriani ,1, Pesaro (PU),12.9097096,43.9099357
Biblioteca Seminariale Paolo VI ,1, Aversa (CE),14.2035587,40.9772954
Biblioteca del Collegio San Bonaventura ,1, Roma (RM),12.5668473,41.8490024
Biblioteca del Seminario maggiore ,1, Parma (PR),10.3307643,44.8027798
Biblioteca di Storia contemporanea Alfredo Oriani ,1, Ravenna (RA),12.200151,44.415925
Biblioteca Statale Isontina ,1, Gorizia (GO),13.623867,45.9463
Biblioteca comunale Francesco Selmi ,1, Vignola (MO),11.0033071,44.4803548
Biblioteca comunale Giuseppe Ceccarelli ,1, Gatteo (FC),12.3855219,44.1073346
Biblioteca dell'Istituto della enciclopedia italiana Giovanni Treccani ,1, Roma (RM),12.4774983,41.8943546
Biblioteca diocesana di Alba ,1, Alba (CN),2.7612794,44.6988649
Biblioteca civica Benedetto Croce ,1, Pollone (BI),7.9966803,45.5819886
Biblioteca comunale Luigi Dal Pane ,1, Castel Bolognese (RA) ,11.7982483,44.3194169
Biblioteca comunale Pietro Siciliani ,1, Galatina (LE),18.1676235,40.1762771
"Biblioteca Umanistica - Lettere,  Università degli studi di Firenze ",1, Firenze (FI),11.2610874,43.7744369
Biblioteca comunale G. Altieri ,1, Morolo (FR),13.196105,41.6402504
Biblioteca di Filosofia e scienze umane del Dipartimento di Studi umanistici dell'Università degli studi di Macerata ,1, Macerata (MC),13.4485044,43.3003206
Biblioteca Metropolitana De Gemmis ,1, Bari (BA),16.8698908,41.1279808
Biblioteca della Fondazione Lelio e Lisli Basso Onlus,1, Roma (RM),12.4753995,41.8987456
Biblioteca Porziuncola ,1, Assisi (PG),14.7798542,41.1304679
"Biblioteca Statale del Monumento Nazionale di Santa 
Giustina ",1, Padova (PD),11.879871,45.396337
Biblioteca comunale Marco Gatti ,1, Manduria (TA),17.6352815,40.3990947
Biblioteca dell'Istituto Tecnico Statale del Settore Tecnologico 'Alessandro Volta' ,1, Trieste (TS),13.7880066,45.6591167
BIBLIOTECA DELLA GALLERIA REGIONALE DELLA SICILIA DI PALAZZO ABATELLIS ,1, Palermo (PA) ,13.3422944,38.1266204
Biblioteca comunale di Vedelago ,1, Vedelago (TV),12.0165157,45.6862484
Biblioteca comunale Isabella Montanini Mezzasoma ,1, Tuoro sul Trasimeno (PG) ,12.0691304,43.208904
Biblioteca e archivio. Civica raccolta delle stampe Achille Bertarelli ,1, Milano (MI) ,9.1792902,45.471074
Archivio storico comunale. Fondo antico Roncalli ,1, Vigevano (PV),8.8588682,45.3192185
Biblioteca Provinciale di Potenza ,1, Potenza (PZ),15.8021339,40.643824
Biblioteca dell'Abbazia di San Michele Arcangelo ,1, Procida (NA),14.1080905,40.7955863
Biblioteca Melchiorre Dèlfico ,1, Teramo (TE) ,13.7008595,42.6595206
Biblioteca civica Carlo Negroni ,1, Novara (NO)  ,7.9966803,45.5819886
Biblioteca del Seminario arcivescovile ,1, Bologna (BO),11.1791055,44.4785161
Biblioteca universitaria giuridica dell'Università degli studi di Modena e Reggio Emilia ,1, Modena (MO),10.9252187,44.6432462
Biblioteca Apulia ,1, Manduria (TA),17.6332985,40.40126
Biblioteca diocesana Mastai Ferretti ,1, Senigallia (AN) ,13.2174558,43.714671
Biblioteca Painiana del Seminario Arcivescovile S. Pio X ,1, Messina (ME),15.5491725,38.2138693
Biblioteca statale Antonio Baldini ,1, Roma (RM),12.4855966,41.9195802
Biblioteca comunale Lorenzo Quartieri ,1, Forte dei Marmi (LU),10.1698443,43.9583156
Biblioteca 'Salvatore Tommasi' ,1, L'Aquila (AQ),13.4561906,42.3411397
Biblioteca nazionale ,1, Cosenza (CS),16.2616807,39.2884033
Biblioteca del Seminario vescovile di Lucera ,1, Lucera (FG),12.6970661,41.5075372
Biblioteca dell'Archivio di Stato di Campobasso ,1, Campobasso (CB),14.6600029,41.5619864
Biblioteca dell'Associazione Benigno Zaccagnini ,1, Cesena (FC),12.2301915,44.1620032
Biblioteca dell'Istituto nazionale di studi etruschi ed italici ,1, Firenze (FI),11.2579637,43.7761093
Biblioteca civica don Gilberto Pressacco ,1, Codroipo (UD),12.982092,45.963503
Biblioteca del Museo etnografico Beniamino Tartaglia ,1, Aquilonia (AV),15.4766747,40.9888491
Biblioteca e Archivio storico di 'Casa Lyda Borelli' ,1, Bologna (BO),11.3117032,44.4899208
Biblioteca delle Civiche raccolte storiche ,1, Milano (MI) ,9.1898302,45.4721784
Biblioteca Polo Chieti 'Ettore Paratore' ,1, Chieti (CH),14.1839872,42.4005415
Biblioteca Universitaria di Padova ,1, Padova (PD),11.8548759,45.406436
Biblioteca comunale Forteguerriana ,1, Pistoia (PT),10.9058803,43.9347754
Biblioteca dell'Istituto d'istruzione superiore Alessandro Volta ,1, Pavia (PV),9.1459539,45.1944094
Biblioteca diocesana ,1, Livorno (LI),10.3176849,43.5536345
Biblioteca P. Bollini del Liceo scientifico statale Righi ,1, Bologna (BO),11.3305186,44.4915987
Biblioteca Pasquale Albino ,1, Campobasso (CB),14.662227,41.5619342
Biblioteca 'Antonio Panizzi' ,1, Reggio nell'Emilia (RE),10.6189873,44.6965085
Biblioteca di Scienze dell'antichità e filologia moderna ,1, Milano (MI),9.2026631,45.4657931
Biblioteca statale del Monumento nazionale di S. Scolastica ,1, Subiaco (RM),13.1111243,41.9184618
Biblioteca comunale di Imola ,1, Imola (BO),11.708827,44.3546829
Biblioteca di Ingegneria e Architettura. Sezione di Ingegneria civile 'Giovanni Michelucci' ,1, Bologna (BO),11.3075481,44.487393
"Biblioteca del Centro APICE -  Archivi della parola, dell'immagine e della comunicazione editoriale dell'Università degli studi di Milano ",1, Milano (MI) ,9.2001837,45.4317027
Biblioteca Centrale Giuridica ,1, Roma (RM),12.4677826,41.9043765
Biblioteca comunale Imbriani Poerio ,1, Pomigliano d'Arco (NA),14.3831195,40.9040593
Biblioteca della Fondazione Centro Studi Ragghianti ,1, Lucca (LU),10.4283345,43.842444
Biblioteca della Fondazione Gramsci ,1, Roma (RM),12.5063569,41.9228739
Biblioteca Seminario S. Andrea ,1, Volterra (PI),10.8663408,43.4039366
Biblioteca comunale 'Francesco Antolisei' ,1, San Severino Marche (MC) ,13.1771091,43.2288769
Biblioteca Teologica Diocesana ,1, Ivrea (TO),7.8760836,45.4686817
BIBLIOTECA CIVICA EUGENIO MONTALE ,1, Varazze (SV),8.5761458,44.360301
Biblioteca civica di Mondovì ,1, Mondovì (CN),7.8189474,44.3845436
Biblioteca Fratelli Pellegrini ,1, Borgo a Mozzano (LU),10.547295,43.979902
Polo Bibliomuseale Biblioteca ,1, Brindisi (BR),17.9384183,40.6326216
Biblioteca comunale G. Carducci ,1, Spoleto (PG),12.7341337,42.7329503
Biblioteca dell'Accademia nazionale di San Luca ,1, Roma (RM),12.4630902,41.9015916
Biblioteca Pubblica Statale annessa al Monumento nazionale di Montevergine ,1, Mercogliano (AV),14.7494855,40.9189262
Biblioteca della Storica Società Operaia di Mutuo Soccorso Ed Istruzione ,1, Pordenone (PN),12.6596804,45.955769
BIBLIOTECA PROVINCIALE DI SALERNO ,1, Salerno (SA),14.7681111,40.6853053
Biblioteca della Fondazione Guido Lodovico Luzzatto ,1, Milano (MI),12.5078336,41.9060021
Biblioteca Poggiana ,1, Montevarchi (AR),11.5671875,43.5243125
Biblioteca Genti D'Abruzzo ,1, Pescara (PE) ,14.2120754,42.4615584
Biblioteca comunale Giuseppe Tescione ,1, Caserta (CE),14.3210459,41.0728994
Biblioteca della Società storica lombarda ,1, Milano (MI),9.1885976,45.4718738
Biblioteca del Liceo classico Marco Foscarini ,1, Venezia (VE),12.33789,45.4439222
Biblioteca pubblica arcivescovile Annibale De Leo ,1, Brindisi (BR),17.94475,40.64009
Biblioteca comunale Cristoforo Landino ,1, Pratovecchio Stia (AR),11.3139386,44.2192769
Biblioteca dell'Istituto nazionale Ferruccio Parri ,1, Milano (MI),9.2207467,45.5232504
Biblioteca delle Arti e Dello Spettacolo -  Fondazione Franco Zeffirelli ,1, Firenze (FI),11.2578136,43.7696678
Biblioteca dei Musei provinciali ERPAC-FVG,1, Gorizia (GO),13.6189485,45.943175
Biblioteca della Scuola Beato Angelico ,1, Milano (MI),9.1360419,45.4590194
Biblioteca Fondazione Maria e Goffredo Bellonci ,1, Roma (RM) ,12.4962473,41.9233583
Biblioteca del Centro nazionale di studi alfieriani ,1, Asti (AT),8.1987005,44.8989886
Biblioteca del Seminario vescovile ,1, Molfetta (BA),16.5982243,41.198354
Biblioteca civica Ricottiana ,1, Voghera (PV),9.0023826,44.991004
Biblioteca comunale Luciano Benincasa ,1, Ancona (AN),13.5006383,43.6227277
Biblioteca comunale Aldo Manuzio ,1, Latina (LT),12.900779,41.4665769
Biblioteca del Seminario vescovile San Pio X ,1, Rovigo (RO),11.7915833,45.0678283
BIBLIOTECA DELLA FONDAZIONE CENTRO INTERNAZIONALE DI STUDI DI ARCHITETTURA ANDREA PALLADIO ,1, Vicenza (VI),11.5494842,45.5409045
Biblioteca MAB -  Provincia Ravenna ,1, Ravenna (RA),12.200251,44.4154754
Biblioteca p. Dionisio Piccirilli ,1, Campobasso (CB),14.6826205,41.5529173
Biblioteca comunale Dante Alighieri ,1, Foligno (PG),12.6919073,42.9563749
Biblioteca della Società napoletana di storia patria ,1, Napoli (NA),14.2530911,40.8381835
Biblioteca Provinciale S. e G. Capone ,1, Avellino (AV),14.7849638,40.9120228
Biblioteca parrocchiale di Romano di Lombardia ,1, Romano di Lombardia (BG),9.5510122,45.6716061
Biblioteca civica Pietro Acclavio ,1, Taranto (TA),17.2580709,40.4637838
Biblioteca comunale don Giovanni Verità e della Accademia degli Incamminati ,1, Modigliana (FC),11.7847594,44.1562041
Biblioteca comunale Federiciana ,1, Fano (PU) ,13.0177059,43.8442098
Biblioteca dell'Accademia di belle arti Pietro Vannucci ,2, Perugia (PG),12.382659,43.113722
Biblioteca Reale ,2, Torino (TO),7.6861251,45.0716944
"Biblioteca Angelo Monteverdi per gli studi filologici, linguistici e letterari, Sapienza Università di Roma ",2, Roma (RM),12.5158977,41.9024057
Biblioteca Seminario S. Andrea ,2, Volterra (PI),10.8663408,43.4039366
Biblioteca dell'Istituto italiano per gli studi storici ,2, Napoli (NA),14.2327814,40.847814
Biblioteca di Busseto della Fondazione Cariparma ,2, Busseto (PR),10.04036,44.9796648
Biblioteca della Società romana di storia patria ,2, Roma (RM),12.4694905,41.8982163
Biblioteca civica ,2, Vercelli (VC),8.422364,45.3257708
Biblioteca della Fondazione Gramsci Emilia-Romagna ,2, Bologna (BO),11.3475151,44.4973887
Biblioteca comunale T. Lippera ,2, Cerreto d'Esi (AN),12.9851058,43.3240955
Biblioteca comunale di Pirri ,2, Cagliari (CA),9.1174193,39.2524596
Biblioteca del Centro studi Romolo Murri ,2, Gualdo (MC),13.337747,43.066605
Biblioteca diocesana del Seminario vescovile ,2, Biella (BI),8.0522876,45.5663922
"Biblioteca dell'Istituto veneto di scienze, lettere ed arti ",2, Venezia (VE),12.3299311,45.4328628
Biblioteca di storia moderna e contemporanea ,2, Roma (RM),12.478245,41.8939996
Biblioteca della Fondazione Il Vittoriale degli Italiani ,2, Gardone Riviera (BS),10.4451667,45.5513568
Biblioteca Riccardiana ,2, Firenze (FI),11.2557749,43.7751902
Biblioteca civica Attilio Hortis ,2, Trieste (TS),13.767775,45.6469056
Biblioteca Roberto Caracciolo ,2, Lecce (LE),18.1806364,40.355231
Biblioteca San Giorgio ,2, Pistoia (PT),10.910122,43.9282783
Biblioteca e archivio dell'Accademia ligustica di belle arti ,2, Genova (GE),8.9378045,44.4092798
Biblioteca provinciale Antonio Mellusi ,2, Benevento (BN),14.7798542,41.1304679
"Biblioteca comunale di Treviso,  Sede di Borgo Cavour ",2, Treviso (TV),12.2387,45.66752
Biblioteca comunale Labronica Francesco Domenico Guerrazzi ,2, Livorno (LI),10.3065582,43.5365453
Biblioteca della Scuola di scienze umanistiche. Umanistica Balbisei. Università degli studi di Genova ,2, Genova (GE),8.9268334,44.4146139
Sistema Bibliotecario di Milano ,2, Milano (MI),9.1755634,45.4638378
Biblioteca civica Uberto Pozzoli ,2, Lecco (LC),9.3913961,45.8561519
Biblioteca diocesana ,2, Tivoli (RM),12.7886959,41.9580215
Biblioteca Europa. Generale  Università degli studi di Trieste ,2, Trieste (TS),13.7905248,45.6588328
Biblioteca città di Arezzo ,2, Arezzo (AR),11.8837304,43.4655736
Biblioteca Norberto Bobbio dell'Università degli Studi di Torino ,2, Torino (TO),7.6994373,45.073817
Biblioteca Etnografica Giuseppe Pitré ,2, Palermo (PA),13.3309876,38.1668896
Biblioteca universitaria di Bologna -  Sezione Archivio Storico ,2, Bologna (BO),11.3648494,44.4879125
Biblioteca civica Francesca Calvo ,2, Alessandria (AL),8.6194081,44.9115198
Biblioteca Universitaria ,2, Genova (GE),8.9229557,44.4163982
Biblioteca 'Gabriele D'Annunzio' ,2, Pescara (PE),14.214268,42.4654669
Biblioteca Comunale ,2, Pomigliano d'Arco (NA),14.3775276,40.9096456
Biblioteca del Liceo Classico Torricelli Ballardini,2, Faenza (RA),11.8564595,44.2869383
Biblioteca comunale Giosuè Carducci ,2, Città di Castello (PG),6.6196441,43.1019357
Biblioteca comunale 'Domenico Fava' ,2, San Salvatore Monferrato (AL),8.5679149,44.9947289
Biblioteca comunale Giuseppe Melli ,2, San Pietro Vernotico (BR),17.9890931,40.4862656
Biblioteca dell'Istituto Leone XIII ,2, Milano (MI),9.1543961,45.4828367
Biblioteca universitaria di Cagliari ,2, Cagliari (CA),9.0945203,39.2172325
Biblioteca civica Giovanni Canna ,3, Casale Monferrato (AL),8.4516086,45.134304
Biblioteca 'Salvatore Tommasi' ,3, L'Aquila (AQ),13.4561906,42.3411397
Biblioteca centrale dell'Area umanistica dell'Università degli Studi di Urbino Carlo Bo ,3, Urbino (PU),12.6368294,43.7232305
Biblioteca civica Camillo Alliaudi ,3, Pinerolo (TO),7.3436442,44.888733
Biblioteca Estense Universitaria ,3, Modena (MO),10.9210157,44.6482547
Biblioteca civica ,3, Cosenza (CS),16.2587745,39.2867842
Biblioteca civica di Biella ,3, Biella (BI),8.0492338,45.567148
Biblioteca comunale Giulio Cesare Croce ,3, San Giovanni in Persiceto (BO),11.1883594,44.6373065
Biblioteca multimediale Arturo Loria ,3, Carpi (MO),10.886725,44.783402
Biblioteca civica di Bassano del Grappa ,3, Bassano del Grappa (VI),11.735995,45.765896
Biblioteca di Scienze Letterarie e Filologiche -  Dipartimento di Studi Umanistici dell'Università degli Studi di Torino ,3, Torino (TO),7.7010769,45.0686161
Biblioteca Casanatense ,3, Roma (RM),12.4794511,41.8986879
Biblioteca Universitaria ,3, Pavia (PV),9.1534061,45.186767
Biblioteca comunale Fabrizio Trisi ,3, Lugo (RA),11.8987202,44.4202558
Biblioteca universitaria di Napoli ,3, Napoli (NA),14.2467174,40.8471267
Biblioteca pubblica e Casa della cultura. Fondazione Achille Marazza ,3, Borgomanero (NO),8.4644569,45.7009861
Biblioteca Palatina ,3, Parma (PR),10.3233251,44.80498
Biblioteca del Seminario vescovile ,3, Treviso (TV),12.550688,43.4067688
Biblioteca comunale Teresiana ,3, Mantova (MN),10.7972626,45.1579908
Biblioteca di Area umanistica dell'Università Ca' Foscari Venezia ,3, Venezia (VE),12.3218485,45.4348042
Biblioteca di Studi Umanistici dell'Università di Pavia ,3, Pavia (PV),9.1544557,45.1866467
Biblioteca Storica di Ateneo 'Arturo Graf' ,3, Torino (TO),7.6888006,45.0692633
Biblioteca comunale Adolfo Betti ,3, Bagni di Lucca (LU) ,10.5861479,44.0100992
Biblioteca della Fondazione Benedetto Croce ,4, Napoli (NA),14.2531185,40.8476575
"Biblioteca Italiana delle Donne  Centro di Documentazione, Ricerca e Iniziativa delle Donne ",4, Bologna (BO),11.3556153,44.4885589
Biblioteca della Scuola di scienze sociali. Sezione DISFOR  Formazione. Università degli studi di Genova ,4, Genova (GE),8.9268334,44.4146139
Biblioteca Clarence Bicknell dell'Istituto internazionale di studi liguri ,4, Bordighera (IM),7.6678861,43.7823835
"Biblioteca di filosofia, lingue e letterature -  Università degli studi di Trieste ",4, Trieste (TS),13.7578386,45.6434356
Biblioteca comunale ,4, Casamassima (BA),16.9192379,40.9554505
Biblioteca Accademia Pontaniana ,4, Napoli (NA),14.2564484,40.846257
Biblioteca Accademia dei Concordi ,4, Rovigo (RO),11.7903002,45.0709149
"Biblioteca del Dipartimento di Filologia classica e Italianistica Alma Mater Studiorum,  Università degli studi di Bologna ",4, Bologna (BO),11.3487885,44.494273
Biblioteca civica Gambalunga ,4, Rimini (RN),12.5676652,44.0614342
Biblioteca Malatestiana ,4, Cesena (FC),12.2439789,44.1387943
Biblioteca comunale Ariostea ,4, Ferrara (FE),11.621633,44.8329461
Biblioteca di Filosofia -  Sapienza Università di Roma ,4, Roma (RM),12.5176248,41.918663
Biblioteca Universitaria di Bologna ,4, Bologna (BO),11.3431071,44.498704
Biblioteca dell'Istituto sociale dei padri gesuiti ,4, Torino (TO),7.6610499,45.0615232
Biblioteca del Seminario Vescovile di Pavia ,4, Pavia (PV),9.1499377,45.1856169
Biblioteca della Facoltà teologica dell'Emilia Romagna ,4, Bologna (BO),11.3183598,44.48633
Biblioteca Leoniana ,5, Pistoia (PT),10.9102421,43.9313268
Biblioteca civica Angelo Mai e Archivi storici ,5, Bergamo (BG),9.6632379,45.7044129
Biblioteca Universitaria di Sassari ,5, Sassari (SS),8.5517292,40.7236448
Biblioteca statale del Monumento Nazionale di Grottaferrata ,5, Grottaferrata (RM),12.6664368,41.7860126
Biblioteca d'arte e di storia di San Giorgio in Poggiale ,5, Bologna (BO),10.0210286,44.497428
Biblioteca della Società dantesca italiana ,5, Firenze (FI),11.2340435,43.7708154
Biblioteca Universitaria ,5, Pisa (PI),10.4142343,43.6863363
Biblioteca Angelica ,6, Roma (RM),12.4744636,41.9008002
Biblioteca diocesana Alessandro VII ,6, Monteriggioni (SI),11.3313801,43.3218662
Biblioteca della Fondazione Spadolini Nuova Antologia ,6, Firenze (FI),11.2577415,43.7482264
Biblioteca Beato Pellegrino ,6, Padova (PD),11.8718558,45.4139772
Biblioteca statale di Cremona ,7, Cremona (CR),10.0216307,45.1380697
"Biblioteca dell'Accademia Petrarca di lettere, arti e scienze ",7, Arezzo (AR),11.874579,43.4697566
Biblioteca del Liceo ginnasio statale Ennio Quirino Visconti ,7, Roma (RM),12.4886484,41.9036563
Biblioteca del Gabinetto Scientifico Letterario G.P. Vieusseux,7,Firenze (FI),11.2502615,43.7686222
Biblioteca Marucelliana ,8, Firenze (FI),11.257671,43.7774629
Biblioteca nazionale Marciana ,8, Venezia (VE),12.3393987,45.4333365
Biblioteca civica Bertoliana Palazzo San Giacomo di Vicenza ,8, Vicenza (VI),11.5446059,45.5484144
Biblioteca nazionale Braidense ,8, Milano (MI),9.1886976,45.4721637
Biblioteca Statale ,8, Lucca (LU),10.501279,43.844903
Biblioteca di Studi giuridici e umanistici ,9, Milano (MI),9.1941298,45.460342
Biblioteca comunale Mozzi-Borgetti,10, Macerata (MC),13.4512071,43.2986927
Biblioteca comunale Gaetano Filangieri ,10, Castellammare di Stabia (NA),14.4725394,40.6984726
Biblioteca Nazionale Sagarriga Visconti Volpi ,10, Bari (BA),16.846345,41.1287723
Biblioteca Nazionale Universitaria ,10, Torino (TO),7.6868538,45.0683038
Biblioteca dell'Accademia delle scienze ,11, Torino (TO),7.6840829,45.0680634
Biblioteca comunale Labronica Francesco Domenico Guerrazzi. Sezione catalografica e magazzino librario ,11, Livorno (LI),10.3065582,43.5365453
Biblioteca comunale Aurelio Saffi e Fondo Piancastelli ,12, Forlì (FC),12.0345873,44.2202063
Biblioteca comunale Augusta ,12, Perugia (PG),12.390489,43.113655
Biblioteca comunale Manfrediana ,12, Faenza (RA),11.8853264,44.2843314
Biblioteca nazionale centrale ,14, Roma (RM),12.5082884,41.9055533
Biblioteca civica centrale ,14, Torino (TO),7.6736543,45.0746507
Biblioteca Marco Besso ,14, Roma (RM),12.4769041,41.8962638
Biblioteca civica ,14, Varese (VA),8.8232865,45.8187524
Biblioteca provinciale La Magna Capitana ,16, Foggia (FG),15.5598138,41.4561641
Biblioteca nazionale Vittorio Emanuele III ,16, Napoli (NA),14.250028,40.8374481
Biblioteca di Casa Carducci ,20, Bologna (BO),11.3572366,44.48819
Biblioteca comunale dell'Archiginnasio ,20, Bologna (BO),11.34342,44.491972
Biblioteca civica Berio ,21, Genova (GE),8.9372938,44.4055517
Biblioteca comunale Classense ,34, Ravenna (RA),12.200006,44.41432
Biblioteca civica di Padova ,35, Padova (PD),11.8791094,45.4084394
Biblioteca nazionale centrale ,51, Firenze (FI),11.2623479,43.7670813
Biblioteca del Centro dantesco ,54, Ravenna (RA),12.2009213,44.4163607