library,number_of_books_held,location,area,lat,long,longitude,latitude
"Biblioteca interdipartimentale di Scienze giuridiche   Sapienza Università di Roma ",1,Roma (RM),Centre,41.9037144,12.5146616,12.5146616,41.9037144
"Biblioteca Centrale Giuridica ",1," Roma (RM)",Centre,41.9043765,12.4677826,12.4677826,41.9043765
Biblioteca della Fondazione Lelio e Lisli Basso Onlus,1," Roma (RM)",Centre,41.8987456,12.4753995,12.4753995,41.8987456
"Biblioteca della Fondazione Gramsci ",1," Roma (RM)",Centre,41.9228739,12.5063569,12.5063569,41.9228739
"Biblioteca dell'Istituto della enciclopedia italiana Giovanni Treccani ",1," Roma (RM)",Centre,41.8943546,12.4774983,12.4774983,41.8943546
"Biblioteca dell'Accademia nazionale di San Luca ",1," Roma (RM)",Centre,41.9015916,12.4630902,12.4630902,41.9015916
"Biblioteca del Collegio San Bonaventura ",1," Roma (RM)",Centre,41.8490024,12.5668473,12.5668473,41.8490024
"Biblioteca statale Antonio Baldini ",1," Roma (RM)",Centre,41.9195802,12.4855966,12.4855966,41.9195802
"Biblioteca di storia moderna e contemporanea ",2," Roma (RM)",Centre,41.8939996,12.478245,12.478245,41.8939996
"Biblioteca Angelo Monteverdi per gli studi filologici, linguistici e letterari, Sapienza Università di Roma ",2," Roma (RM)",Centre,41.9024057,12.5158977,12.5158977,41.9024057
"Biblioteca della Società romana di storia patria ",2," Roma (RM)",Centre,41.8982163,12.4694905,12.4694905,41.8982163
"Biblioteca Casanatense ",3," Roma (RM)",Centre,41.8986879,12.4794511,12.4794511,41.8986879
"Biblioteca di Filosofia -  Sapienza Università di Roma ",4," Roma (RM)",Centre,41.918663,12.5176248,12.5176248,41.918663
"Biblioteca Angelica ",6," Roma (RM)",Centre,41.9008002,12.4744636,12.4744636,41.9008002
"Biblioteca del Liceo ginnasio statale Ennio Quirino Visconti ",7," Roma (RM)",Centre,41.9036563,12.4886484,12.4886484,41.9036563
"Biblioteca Marco Besso ",14," Roma (RM)",Centre,41.8962638,12.4769041,12.4769041,41.8962638
"Biblioteca nazionale centrale ",14," Roma (RM)",Centre,41.9055533,12.5082884,12.5082884,41.9055533
"Biblioteca Fondazione Maria e Goffredo Bellonci ",1," Roma (RM) ",Centre,41.9233583,12.4962473,12.4962473,41.9233583
"Biblioteca Porziuncola ",1," Assisi (PG)",Centre,41.1304679,14.7798542,14.7798542,41.1304679
"Biblioteca comunale Aldo Manuzio ",1," Latina (LT)",Centre,41.4665769,12.900779,12.900779,41.4665769
"Biblioteca comunale G. Altieri ",1," Morolo (FR)",Centre,41.6402504,13.196105,13.196105,41.6402504
"Biblioteca diocesana ",2," Tivoli (RM)",Centre,41.9580215,12.7886959,12.7886959,41.9580215
"Biblioteca statale del Monumento nazionale di S. Scolastica ",1," Subiaco (RM)",Centre,41.9184618,13.1111243,13.1111243,41.9184618
"Biblioteca statale del Monumento Nazionale di Grottaferrata ",5," Grottaferrata (RM)",Centre,41.7860126,12.6664368,12.6664368,41.7860126